VARIABLE,TYPE,FILL,USE
EMAIL_SHA1,str,NONE,2
WEBSITE,str,NONE,1
MEMBER_ACCOUNT_ID,float,NONE,2
SUBSCR_DATE,str,NONE,2
SUBSCR_BOOKING_ID,float,NONE,2
RENEWAL_INFO,str,NONE,2
LABEL,str,NONE,2
SUBSCR_FEE_CURRENCY,str,NONE,2
SUBSCR_FEE_AMOUNT,float,NONE,2
SUBSCR_VISIT_ID,float,NONE,2
SUBSCR_SEARCH_ID,float,NONE,2
LABEL_INT,float,NONE,2
LABEL_BOOL,float,NONE,2
RENEWED,float,NONE,2
CHURN,float,NONE,2
FAIL,float,NONE,2
SUBSCR_DATE_UNIX,date,NONE,1
NUM_VISIT_ID,float,NONE,1
NUM_V_WEBSITE,float,NONE,2
NUM_V_BROWSER,float,NONE,2
NUM_V_BROWSER_VERSION,float,NONE,1
NUM_V_OS,float,NONE,2
NUM_V_OS_VERSION,float,NONE,1
NUM_V_INTERFACE,float,NONE,2
NUM_V_DEVICE,float,NONE,2
AVG_VISIT_DATE_DIFF,float,NONE,1
STD_VISIT_DATE_DIFF,float,NONE,1
VISIT_DATE,str,NONE,2
V_BROWSER,str,NONE,1
V_BROWSER_VERSION,float,NONE,1
V_OS,str,NONE,1
V_OS_VERSION,float,NONE,1
V_INTERFACE,str,NONE,1
V_DEVICE,str,NONE,1
VISIT_DATE_DIFF,float,NONE,1
NUM_SEARCH_ID,float,NONE,1
NUM_DEP_COUNTRY,float,NONE,1
NUM_ARR_COUNTRY,float,NONE,1
NUM_DEP_CONTINENT,float,NONE,2
NUM_ARR_CONTINENT,float,NONE,2
NUM_S_MKT_PORTAL,float,NONE,1
NUM_S_MKT_CHANNEL,float,NONE,1
MIN_S_SEARCH_DISTANCE,float,NONE,1
MIN_ADV_IN_PUR,float,NONE,1
MIN_TRIP_DURATION,float,NONE,1
MAX_S_SEARCH_DISTANCE,float,NONE,1
MAX_ADV_IN_PUR,float,NONE,1
MAX_TRIP_DURATION,float,NONE,1
MAX_S_NUM_ADULTS,float,NONE,1
MAX_S_NUM_CHILDREN,float,NONE,1
MAX_S_NUM_INFANT,float,NONE,2
MAX_S_DEP_DATE_UNIX,date,NONE,1
MAX_S_ARR_DATE_UNIX,date,NONE,1
AVG_S_DEP_DATE_UNIX,date,NONE,1
AVG_S_ARR_DATE_UNIX,date,NONE,1
TOP_DEP_COUNTRY,str,NONE,1
TOP_ARR_COUNTRY,str,NONE,1
TOP_S_MKT_PORTAL,str,NONE,1
TOP_S_MKT_CHANNEL,str,NONE,1
TOP_S_TRIP_TYPE,str,NONE,1
STDV_ADV_IN_PUR,float,NONE,1
AVG_S_SEARCH_DISTANCE,float,NONE,1
STDV_S_SEARCH_DISTANCE,float,NONE,1
AVG_S_SEARCH_DAY_ADVANCE,float,NONE,1
STDV_S_SEARCH_DAY_ADVANCE,float,NONE,1
AVG_SEARCH_DATE_DIFF,float,NONE,1
STDV_SEARCH_DATE_DIFF,float,NONE,1
SEARCH_DATE,str,NONE,2
S_MKT_PORTAL,str,NONE,1
S_MKT_CHANNEL,str,NONE,1
S_SEARCH_DISTANCE,float,NONE,1
S_SEARCH_DAY_ADVANCE,float,NONE,1
S_TRIP_TYPE,str,NONE,1
ADV_IN_PUR,float,NONE,1
DEP_COUNTRY,str,NONE,1
DEP_CONTINENT,str,NONE,1
ARR_COUNTRY,str,NONE,1
ARR_CONTINENT,str,NONE,1
TRIP_DURATION,float,NONE,1
S_NUM_ADULTS,float,NONE,1
S_NUM_CHILDREN,float,NONE,1
S_NUM_INFANT,float,NONE,2
SEARCH_DATE_DIFF,float,NONE,1
MIN_SS_SCORE,float,NONE,1
MIN_EA_SCORE,float,NONE,1
MIN_DESC_SERVICE_FEE_RANGE,float,NONE,1
MIN_FLIGHTGROSSSALES,float,NONE,1
MIN_GROSSSALES,float,NONE,1
MIN_FLIGHTPROVIDERPRICE,float,NONE,1
MIN_REVENUEMARGIN,float,NONE,1
MIN_SERVICEFEES,float,NONE,1
MIN_PRIORITYBOARDINGSREVENUE,float,NONE,1
MIN_INSURANCESGROSSSALES,float,NONE,1
MIN_SERVICEOPTIONS,float,NONE,1
MIN_SERVICEOPTIONSGROSSSALES,float,NONE,1
MIN_SERVICEOPTIONSREVENUE,float,NONE,1
MIN_BAGSGROSSSALES,float,NONE,1
MIN_SEATSINCLUDED,float,NONE,2
MIN_SEATSSELECTED,float,NONE,1
MIN_SEATSGROSSSALES,float,NONE,1
MIN_SEATSREVENUE,float,NONE,1
MIN_SEATSSELECTEDCHARGEABLE,float,NONE,1
